name,area,matchedName,status,lat,lng,sourceTitle,sourceUrl,note
3203015,Kabupaten Cianjur,RSUD SAYANG,referensi,-6.80997,107.14099,OpenStreetMap; identitas kode 3203015 dikonfirmasi SIRS Kemenkes,https://www.openstreetmap.org/way/286012485,"Padanan nama/kode: RSUD SAYANG. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat fasilitas dari sumber publik; belum diperiksa di lapangan."
AI AJIZAH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
AI DEDE SUSILAWATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
ANA YULIANA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
BIDAN DAHLIA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
BIDAN DAHLIA RIZKI SOLIHATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
BIDAN GINA SONIA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
BIDAN LINDA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
BIDAN RANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
BIDAN YANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
CIRANJANG,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
DINI NURHANDINI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
DR DESTI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
DR SUCI RAHMADILAH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
ELY MUTIANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
ENOK KARTIKA SARI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
ENOK KARTIKASARI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
EULIS SRI NURWANINGSIH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
IRA RANJANI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
KLINIK BERKAH BAKTI MEDIKA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
LAB RSUD CIMACAN,Kabupaten Cianjur,RSUD CIMACAN,referensi,-6.720514,107.032372,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,"Padanan nama/kode: RSUD CIMACAN. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat referensi 2022; belum diperiksa di lapangan."
LABORATORIUM RSUD CIMACAN,Kabupaten Cianjur,RSUD CIMACAN,referensi,-6.720514,107.032372,Gazeter Republik Indonesia 2022 (BIG),https://sinar.big.go.id/assets/document/gazeter/gazeter_1674633462.pdf,"Padanan nama/kode: RSUD CIMACAN. Lokasi kompleks fasilitas, bukan ruang pelayanan. Koordinat referensi 2022; belum diperiksa di lapangan."
LINDA SARI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
LINDASARI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
N DEWI RUSMIATI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
NINA YULIANA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
NURHASANAH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
NURUL HIKMAH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PERINA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama unit tanpa rumah sakit induk; tidak cukup untuk menentukan lokasi.
PERINA RSDH,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PMB HJ EKA SUMARTIKA,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PMB MARIA DWI ARINI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PMB NI MADE JUITHA MANDASARI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
PMB RIKA DAMAYANTI,Kabupaten Cianjur,,belum_ditemukan,,,,,Nama belum dapat dicocokkan dengan lokasi fasilitas secara pasti.
